# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Apr 27 07:34:06 2026
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN disc_telescope: Discovery Telescope
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_massj:       Planet Mass [Jupiter Mass]
# COLUMN pl_massjerr1:   Planet Mass [Jupiter Mass] Upper Unc.
# COLUMN pl_massjerr2:   Planet Mass [Jupiter Mass] Lower Unc.
# COLUMN pl_massjlim:    Planet Mass [Jupiter Mass] Limit Flag
#
pl_name,hostname,discoverymethod,disc_year,disc_facility,disc_telescope,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim
55 Cnc b,55 Cnc,Radial Velocity,1996,Lick Observatory,3.0 m C. Donald Shane Telescope,,,,,,,,
55 Cnc b,55 Cnc,Radial Velocity,1996,Lick Observatory,3.0 m C. Donald Shane Telescope,,,,,0.84000000,0.13100000,-0.03100000,0
55 Cnc b,55 Cnc,Radial Velocity,1996,Lick Observatory,3.0 m C. Donald Shane Telescope,,,,,,,,
55 Cnc b,55 Cnc,Radial Velocity,1996,Lick Observatory,3.0 m C. Donald Shane Telescope,,,,,,,,
55 Cnc b,55 Cnc,Radial Velocity,1996,Lick Observatory,3.0 m C. Donald Shane Telescope,,,,,0.80000000,,,0
55 Cnc b,55 Cnc,Radial Velocity,1996,Lick Observatory,3.0 m C. Donald Shane Telescope,,,,,,,,
55 Cnc b,55 Cnc,Radial Velocity,1996,Lick Observatory,3.0 m C. Donald Shane Telescope,,,,,,,,
55 Cnc b,55 Cnc,Radial Velocity,1996,Lick Observatory,3.0 m C. Donald Shane Telescope,,,,,,,,
55 Cnc b,55 Cnc,Radial Velocity,1996,Lick Observatory,3.0 m C. Donald Shane Telescope,,,,,,,,
55 Cnc b,55 Cnc,Radial Velocity,1996,Lick Observatory,3.0 m C. Donald Shane Telescope,,,,,0.83060000,0.00330000,-0.00330000,0
55 Cnc b,55 Cnc,Radial Velocity,1996,Lick Observatory,3.0 m C. Donald Shane Telescope,,,,,,,,
55 Cnc c,55 Cnc,Radial Velocity,2004,McDonald Observatory,9.2 m Hobby-Eberly Telescope,,,,,,,,
55 Cnc c,55 Cnc,Radial Velocity,2004,McDonald Observatory,9.2 m Hobby-Eberly Telescope,,,,,,,,
55 Cnc c,55 Cnc,Radial Velocity,2004,McDonald Observatory,9.2 m Hobby-Eberly Telescope,,,,,,,,
55 Cnc c,55 Cnc,Radial Velocity,2004,McDonald Observatory,9.2 m Hobby-Eberly Telescope,,,,,,,,
55 Cnc c,55 Cnc,Radial Velocity,2004,McDonald Observatory,9.2 m Hobby-Eberly Telescope,,,,,,,,
55 Cnc c,55 Cnc,Radial Velocity,2004,McDonald Observatory,9.2 m Hobby-Eberly Telescope,,,,,0.17140000,0.00550000,-0.00550000,0
55 Cnc c,55 Cnc,Radial Velocity,2004,McDonald Observatory,9.2 m Hobby-Eberly Telescope,,,,,,,,
55 Cnc c,55 Cnc,Radial Velocity,2004,McDonald Observatory,9.2 m Hobby-Eberly Telescope,,,,,,,,
55 Cnc c,55 Cnc,Radial Velocity,2004,McDonald Observatory,9.2 m Hobby-Eberly Telescope,,,,,,,,
55 Cnc c,55 Cnc,Radial Velocity,2004,McDonald Observatory,9.2 m Hobby-Eberly Telescope,,,,,0.17840000,0.02750000,-0.00780000,0
55 Cnc d,55 Cnc,Radial Velocity,2002,Lick Observatory,3.0 m C. Donald Shane Telescope,,,,,,,,
55 Cnc d,55 Cnc,Radial Velocity,2002,Lick Observatory,3.0 m C. Donald Shane Telescope,,,,,,,,
55 Cnc d,55 Cnc,Radial Velocity,2002,Lick Observatory,3.0 m C. Donald Shane Telescope,,,,,,,,
55 Cnc d,55 Cnc,Radial Velocity,2002,Lick Observatory,3.0 m C. Donald Shane Telescope,,,,,,,,
55 Cnc d,55 Cnc,Radial Velocity,2002,Lick Observatory,3.0 m C. Donald Shane Telescope,,,,,,,,
55 Cnc d,55 Cnc,Radial Velocity,2002,Lick Observatory,3.0 m C. Donald Shane Telescope,,,,,,,,
55 Cnc d,55 Cnc,Radial Velocity,2002,Lick Observatory,3.0 m C. Donald Shane Telescope,,,,,3.86000000,0.60000000,-0.15000000,0
55 Cnc d,55 Cnc,Radial Velocity,2002,Lick Observatory,3.0 m C. Donald Shane Telescope,,,,,,,,
55 Cnc d,55 Cnc,Radial Velocity,2002,Lick Observatory,3.0 m C. Donald Shane Telescope,,,,,,,,
55 Cnc d,55 Cnc,Radial Velocity,2002,Lick Observatory,3.0 m C. Donald Shane Telescope,,,,,,,,
55 Cnc d,55 Cnc,Radial Velocity,2002,Lick Observatory,3.0 m C. Donald Shane Telescope,,,,,3.87800000,0.06800000,-0.06800000,0
55 Cnc d,55 Cnc,Radial Velocity,2002,Lick Observatory,3.0 m C. Donald Shane Telescope,,,,,,,,
55 Cnc e,55 Cnc,Radial Velocity,2004,McDonald Observatory,9.2 m Hobby-Eberly Telescope,,,,,,,,
55 Cnc e,55 Cnc,Radial Velocity,2004,McDonald Observatory,9.2 m Hobby-Eberly Telescope,,,,,0.02561000,0.00073000,-0.00073000,0
55 Cnc e,55 Cnc,Radial Velocity,2004,McDonald Observatory,9.2 m Hobby-Eberly Telescope,0.19400000,0.00900000,-0.00900000,0,0.02600000,0.00100000,-0.00100000,0
55 Cnc e,55 Cnc,Radial Velocity,2004,McDonald Observatory,9.2 m Hobby-Eberly Telescope,,,,,,,,
55 Cnc e,55 Cnc,Radial Velocity,2004,McDonald Observatory,9.2 m Hobby-Eberly Telescope,0.17800000,0.01200000,-0.01200000,0,0.02700000,0.00100000,-0.00100000,0
55 Cnc e,55 Cnc,Radial Velocity,2004,McDonald Observatory,9.2 m Hobby-Eberly Telescope,,,,,,,,
55 Cnc e,55 Cnc,Radial Velocity,2004,McDonald Observatory,9.2 m Hobby-Eberly Telescope,0.18049029,0.01628807,-0.01628807,0,,,,
55 Cnc e,55 Cnc,Radial Velocity,2004,McDonald Observatory,9.2 m Hobby-Eberly Telescope,0.16727630,0.00258721,-0.00258721,0,0.02513923,0.00100683,-0.00103829,0
55 Cnc e,55 Cnc,Radial Velocity,2004,McDonald Observatory,9.2 m Hobby-Eberly Telescope,,,,,,,,
55 Cnc e,55 Cnc,Radial Velocity,2004,McDonald Observatory,9.2 m Hobby-Eberly Telescope,0.17129093,0.00713712,-0.00713712,0,0.02542240,0.00097536,-0.00097536,0
55 Cnc e,55 Cnc,Radial Velocity,2004,McDonald Observatory,9.2 m Hobby-Eberly Telescope,,,,,0.02547000,0.00082000,-0.00081000,0
55 Cnc e,55 Cnc,Radial Velocity,2004,McDonald Observatory,9.2 m Hobby-Eberly Telescope,0.17039879,0.00713712,-0.00713712,0,0.02542240,0.00097536,-0.00097536,0
55 Cnc e,55 Cnc,Radial Velocity,2004,McDonald Observatory,9.2 m Hobby-Eberly Telescope,0.16923900,0.00392542,-0.00410385,0,0.02435264,0.00116414,-0.00094390,0
55 Cnc e,55 Cnc,Radial Velocity,2004,McDonald Observatory,9.2 m Hobby-Eberly Telescope,,,,,,,,
55 Cnc e,55 Cnc,Radial Velocity,2004,McDonald Observatory,9.2 m Hobby-Eberly Telescope,0.16558151,0.00214114,-0.00223035,0,,,,
55 Cnc e,55 Cnc,Radial Velocity,2004,McDonald Observatory,9.2 m Hobby-Eberly Telescope,,,,,,,,
55 Cnc e,55 Cnc,Radial Velocity,2004,McDonald Observatory,9.2 m Hobby-Eberly Telescope,,,,,,,,
55 Cnc e,55 Cnc,Radial Velocity,2004,McDonald Observatory,9.2 m Hobby-Eberly Telescope,0.17370000,0.00339014,-0.00339014,0,0.02702716,0.00135293,-0.00135293,0
55 Cnc e,55 Cnc,Radial Velocity,2004,McDonald Observatory,9.2 m Hobby-Eberly Telescope,,,,,,,,
55 Cnc e,55 Cnc,Radial Velocity,2004,McDonald Observatory,9.2 m Hobby-Eberly Telescope,,,,,,,,
55 Cnc e,55 Cnc,Radial Velocity,2004,McDonald Observatory,9.2 m Hobby-Eberly Telescope,0.18556517,0.01427424,-0.01516638,0,0.02457288,0.00182487,-0.00166756,0
55 Cnc f,55 Cnc,Radial Velocity,2007,Multiple Observatories,Multiple Telescopes,,,,,,,,
55 Cnc f,55 Cnc,Radial Velocity,2007,Multiple Observatories,Multiple Telescopes,,,,,,,,
55 Cnc f,55 Cnc,Radial Velocity,2007,Multiple Observatories,Multiple Telescopes,,,,,,,,
55 Cnc f,55 Cnc,Radial Velocity,2007,Multiple Observatories,Multiple Telescopes,,,,,0.14790000,0.02190000,-0.00930000,0
55 Cnc f,55 Cnc,Radial Velocity,2007,Multiple Observatories,Multiple Telescopes,,,,,,,,
55 Cnc f,55 Cnc,Radial Velocity,2007,Multiple Observatories,Multiple Telescopes,,,,,,,,
55 Cnc f,55 Cnc,Radial Velocity,2007,Multiple Observatories,Multiple Telescopes,,,,,,,,
55 Cnc f,55 Cnc,Radial Velocity,2007,Multiple Observatories,Multiple Telescopes,,,,,,,,
55 Cnc f,55 Cnc,Radial Velocity,2007,Multiple Observatories,Multiple Telescopes,,,,,0.14100000,0.01200000,-0.01200000,0
6 Lyn b,6 Lyn,Radial Velocity,2008,Okayama Astrophysical Observatory,1.88 m Telescope,,,,,,,,
6 Lyn b,6 Lyn,Radial Velocity,2008,Okayama Astrophysical Observatory,1.88 m Telescope,,,,,,,,
6 Lyn b,6 Lyn,Radial Velocity,2008,Okayama Astrophysical Observatory,1.88 m Telescope,,,,,,,,
6 Lyn b,6 Lyn,Radial Velocity,2008,Okayama Astrophysical Observatory,1.88 m Telescope,,,,,,,,
61 Vir b,61 Vir,Radial Velocity,2009,Multiple Observatories,Multiple Telescopes,,,,,,,,
61 Vir b,61 Vir,Radial Velocity,2009,Multiple Observatories,Multiple Telescopes,,,,,,,,
61 Vir b,61 Vir,Radial Velocity,2009,Multiple Observatories,Multiple Telescopes,,,,,,,,
61 Vir c,61 Vir,Radial Velocity,2009,Multiple Observatories,Multiple Telescopes,,,,,,,,
61 Vir c,61 Vir,Radial Velocity,2009,Multiple Observatories,Multiple Telescopes,,,,,,,,
61 Vir c,61 Vir,Radial Velocity,2009,Multiple Observatories,Multiple Telescopes,,,,,,,,
61 Vir d,61 Vir,Radial Velocity,2009,Multiple Observatories,Multiple Telescopes,,,,,,,,
61 Vir d,61 Vir,Radial Velocity,2009,Multiple Observatories,Multiple Telescopes,,,,,,,,
7 CMa b,7 CMa,Radial Velocity,2011,Anglo-Australian Telescope,3.9 m Anglo-Australian Telescope,,,,,,,,
7 CMa b,7 CMa,Radial Velocity,2011,Anglo-Australian Telescope,3.9 m Anglo-Australian Telescope,,,,,,,,
7 CMa b,7 CMa,Radial Velocity,2011,Anglo-Australian Telescope,3.9 m Anglo-Australian Telescope,,,,,,,,
7 CMa b,7 CMa,Radial Velocity,2011,Anglo-Australian Telescope,3.9 m Anglo-Australian Telescope,,,,,,,,
7 CMa c,7 CMa,Radial Velocity,2019,Multiple Observatories,Multiple Telescopes,,,,,,,,
7 CMa c,7 CMa,Radial Velocity,2019,Multiple Observatories,Multiple Telescopes,,,,,,,,
70 Vir b,70 Vir,Radial Velocity,1996,Lick Observatory,3.0 m C. Donald Shane Telescope,,,,,,,,
70 Vir b,70 Vir,Radial Velocity,1996,Lick Observatory,3.0 m C. Donald Shane Telescope,,,,,,,,
70 Vir b,70 Vir,Radial Velocity,1996,Lick Observatory,3.0 m C. Donald Shane Telescope,,,,,,,,
70 Vir b,70 Vir,Radial Velocity,1996,Lick Observatory,3.0 m C. Donald Shane Telescope,,,,,,,,
70 Vir b,70 Vir,Radial Velocity,1996,Lick Observatory,3.0 m C. Donald Shane Telescope,,,,,,,,
70 Vir b,70 Vir,Radial Velocity,1996,Lick Observatory,3.0 m C. Donald Shane Telescope,,,,,7.49000000,0.61000000,-0.61000000,0
75 Cet b,75 Cet,Radial Velocity,2012,Okayama Astrophysical Observatory,1.88 m Telescope,,,,,,,,
75 Cet b,75 Cet,Radial Velocity,2012,Okayama Astrophysical Observatory,1.88 m Telescope,,,,,,,,
75 Cet c,75 Cet,Radial Velocity,2023,Okayama Astrophysical Observatory,1.88 m Telescope,,,,,,,,
8 UMi b,8 UMi,Radial Velocity,2015,Bohyunsan Optical Astronomical Observatory,1.8 m Telescope,,,,,,,,
8 UMi b,8 UMi,Radial Velocity,2015,Bohyunsan Optical Astronomical Observatory,1.8 m Telescope,,,,,,,,
8 UMi b,8 UMi,Radial Velocity,2015,Bohyunsan Optical Astronomical Observatory,1.8 m Telescope,,,,,,,,
81 Cet b,81 Cet,Radial Velocity,2008,Okayama Astrophysical Observatory,1.88 m Telescope,,,,,,,,
81 Cet b,81 Cet,Radial Velocity,2008,Okayama Astrophysical Observatory,1.88 m Telescope,,,,,,,,
81 Cet b,81 Cet,Radial Velocity,2008,Okayama Astrophysical Observatory,1.88 m Telescope,,,,,,,,
91 Aqr b,91 Aqr,Radial Velocity,2013,Lick Observatory,0.6 m Coude Auxiliary Telescope,,,,,,,,
AB Aur b,AB Aur,Imaging,2022,Subaru Telescope,8.2 m Subaru Telescope,,,,,9.00000000,,,0
AB Pic b,AB Pic,Imaging,2005,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope,,,,,13.50000000,0.50000000,-0.50000000,0
AF Lep b,AF Lep,Imaging,2023,Paranal Observatory,8.2 m ESO VLT UT3 Melipal Telescope,,,,,3.74000000,0.53000000,-0.50000000,0
AF Lep b,AF Lep,Imaging,2023,Paranal Observatory,8.2 m ESO VLT UT3 Melipal Telescope,,,,,4.30000000,2.90000000,-1.20000000,0
AF Lep b,AF Lep,Imaging,2023,Paranal Observatory,8.2 m ESO VLT UT3 Melipal Telescope,,,,,3.20000000,0.70000000,-0.60000000,0
AF Lep b,AF Lep,Imaging,2023,Paranal Observatory,8.2 m ESO VLT UT3 Melipal Telescope,,,,,5.23700000,0.08500000,-0.10000000,0
AF Lep b,AF Lep,Imaging,2023,Paranal Observatory,8.2 m ESO VLT UT3 Melipal Telescope,,,,,3.61000000,0.49000000,-0.48000000,0
AT2021ueyL b,AT2021ueyL,Microlensing,2025,Multiple Observatories,Multiple Telescopes,,,,,1.34000000,0.45000000,-0.50000000,0
AU Mic b,AU Mic,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,0.42733591,0.02587211,-0.02587211,0,0.02828570,0.00821198,-0.00840076,0
AU Mic b,AU Mic,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,,,,,0.03209279,0.01227077,-0.00849515,0
AU Mic b,AU Mic,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,,,,,0.03681232,0.01573176,-0.01573176,0
AU Mic b,AU Mic,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,,,,,0.05380262,0.01478785,-0.01415858,0
AU Mic b,AU Mic,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,0.37500000,0.01800000,-0.01800000,0,,,,
